ID,File_name
202400532,Substitution.java
202400533,FilterSet.java
202400534,Rectangle.java
202400535,DepthSelector.java
202400536,AbstractFileSet.java
202400537,Ellipse.java
202400538,Assertions.java
202400539,ColorMapper.java
202400540,ApacheCatalogResolver.java
202400541,RmicAdapter.java
202400542,MSVSSGET.java
202400543,ContainsRegexpSelector.java
202400544,MSVSSHISTORY.java
202400545,FilterChain.java
202400546,CommandlineJava.java
202400547,Resource.java
202400548,FileSet.java
202400549,ApacheCatalog.java
202400550,Symlink.java
202400551,MSVSSConstants.java
202400552,RmicAdapterFactory.java
202400553,KaffeRmic.java
202400554,ScriptFilter.java
202400555,ExtendFileSelector.java
202400556,FlexInteger.java
202400557,DirSet.java
202400558,DrawOperation.java
202400559,AbstractAccessTask.java
202400560,EnumeratedAttribute.java
202400561,BasicShape.java
202400562,RedirectorElement.java
202400563,ClassfileSet.java
202400564,Reference.java
202400565,MSVSSLABEL.java
202400566,Attrib.java
202400567,Text.java
202400569,Tokenizer.java
202400570,MappingSelector.java
202400571,Jdk14RegexpRegexp.java
202400572,ZipOutputStream.java
202400573,CollectionUtils.java
202400574,FlatFileNameMapper.java
202400575,MailMessage.java
202400576,LazyHashtable.java
202400577,JakartaOroRegexp.java
202400578,OutputStreamFunneler.java
202400579,MergingMapper.java
202400580,FacadeTaskHelper.java
202400581,DependencyVisitor.java
202400582,CompositeMapper.java
202400583,DigestAlgorithm.java
202400584,TaskLogger.java
202400585,TeeOutputStream.java
202400586,NotSelector.java
202400587,TarOutputStream.java
202400588,UnrecognizedExtraField.java
202400589,TarUtils.java
202400590,ScriptRunner.java
202400591,ModifiedSelector.java
202400592,SourceFileScanner.java
202400593,RegexpUtil.java
202400594,SelectSelector.java
202400595,Cache.java
202400596,AncestorAnalyzer.java
202400597,ZipExtraField.java
202400598,WeakishReference.java
202400599,PresentSelector.java
202400600,ContainerMapper.java
202400601,ChainedMapper.java
202400602,JavaEnvUtils.java
202400603,FilenameSelector.java
202400604,ExtraFieldUtils.java
202400605,FileSelector.java
202400606,ReaderInputStream.java
202400607,JakartaRegexpRegexp.java
202400608,BZip2Constants.java
202400609,TarInputStream.java
202400610,RegexpPatternMapper.java
202400611,RegexpMatcher.java
202400612,LazyFileOutputStream.java
202400613,SmtpResponseReader.java
202400615,SelectorContainer.java
202400616,CRC.java
202400617,EqualComparator.java
202400618,HashvalueAlgorithm.java
202400619,FileNameMapper.java
202400620,ZipLong.java
202400621,Regexp.java
202400622,UnixStat.java
202400623,FullAnalyzer.java
202400624,SizeSelector.java
202400625,ZipShort.java
202400626,PropertiesfileCache.java
202400627,JakartaOroMatcher.java
202400628,AbstractAnalyzer.java
202400629,NoExitSecurityManager.java
202400630,TarBuffer.java
202400631,GlobPatternMapper.java
202400632,IdentityMapper.java
202400633,MajoritySelector.java
202400634,WeakishReference12.java
202400635,Algorithm.java
202400636,ZipFile.java
202400637,Jdk14RegexpMatcher.java
202400638,AsiExtraField.java
202400639,PackageNameMapper.java
202400640,DependencyAnalyzer.java
202400641,ErrorInQuitException.java
202400642,DOMElementWriter.java
202400643,RegexpMatcherFactory.java
202400644,SelectorUtils.java
202400645,ImplementationSpecificArgument.java
202400646,OrSelector.java
202400647,DateUtils.java
202400648,NoneSelector.java
202400649,TypeSelector.java
202400650,ConcatFileInputStream.java
202400651,JakartaRegexpMatcher.java
202400652,StringUtils.java
202400653,UnPackageNameMapper.java
202400654,ZipEntry.java
202400655,TarEntry.java
202400656,TarConstants.java
202400657,SelectorScanner.java
202400658,ClasspathUtils.java
202400659,LoaderUtils.java
202400660,LeadPipeInputStream.java
202400661,RegexpFactory.java
202400662,LineTokenizer.java
202400663,JAXPUtils.java
